"Timestamp","What have you found most challenging so far (i.e.: getting used to technology, the math, terminology, concepts, etc.)?","What do you think would improve your understanding of the material presented (e.g.: more in class group work, tutors in class, weekly open lab hours (~4 hour block - 1/week) to drop in and collaborate with mentors and peers in a central location, etc.)?","What are some things you are excited to have learned so far? What are some things you are still struggling to understand?","What do yo think will be the most challenging for you going forward (i.e.: concepts, pace, time management, work/life balance, etc)? If more than one, then please list in order of importance with #1 being most important.","Do you plan to continue the program? Why or why not and how has your expectations and perspective changed from day 1 until now?","Compared to the start of the semester, do feel more confident about your ability to read or write a simple program?","How comfortable are you with the concept ""variable"" ","How comfortable are you with the concept ""control statement"" - setting/checking condition and branching the execution flow","How comfortable are you with the concept ""procedure"" - declaring and using it","How comfortable are you with the concept ""iterative statement"" - setting initial condition, checking continuing condition and setting incrementation/decrementation ","How comfortable are you with the concept ""abstraction"" ","How many hours per week outside the class do you spend on this course? ","Is the class harder or easier than a biology class","How likely are you to recommend the PINC program to a friend or colleague","PINC mentors have been helpful to enhance your learning experience.","Any suggestions for improving mentoring/tutoring?","Do you prefer to finish PINC program in 4 semesters by having one semester with 2 courses, or in 5 semester by having one course each per semester?","Would you like to keep your laptop for the next semester? ","CS 220 will be offered at the T Th 9:35-11:50 in Spring 2017. Do you plan to take this class? ","If CS 220 will be offered at the T Th 2:00-3:15 in Spring 2017. Do you plan to take this class? "
"2016/11/14 1:16:08 PM MST","What I've struggled most with is getting use to the terminology. The words that stand for functions. Essentially learning the language. technology and math is not as bad. ","more in depth analysis of the homework. Reviewing what we did and why. Slides are helpful. Homework and slides help the most.  ","I am excited to learn and perfect the language java. I know it will help me with other languages. I want to learn to be a good programer. I am struggling to understand new homework concepts. BUT! Even though they're hard to understand I spend hours outside of class trying to learn the concepts. I dont mind doing that and think its important but would like more review after homework assignments. Not necessarily before, because before would not encourage me to do work on my own, and maybe others. ","#1 will be getting myself to sit and do the work. Next semester is going to be a lot harder and time consuming and I fear slacking. I will have to be very vigourous with myself. Im not concerned with life only work. I enjoy having tools to refer too when lost, the sides and textbook have helped. ","Yes, I want more material. Happy to take an additional class next semester to learn python with next semesters new PINCers.","Yes","3","4","2","2","4","6-8 hours per week","3","1","1","They are great. They contribute more than expected. ","4 semesters","No","Yes, quite likely.","Yes, definitely"
"2016/11/14 5:06:55 PM MST","Most challenging has been the concepts and terminology. ","I would like to see more in class group work, whether they are on Java or small five minute discussions. If we do something related to Java, I would like to see more tutors/mentors assisting each table. It's hard to also help your partner and keep up at the same pace as lecture.","I thought building the apps was pretty exciting. I liked that we followed tutorials and that we also made a note taking one (though more challenging). It showed the capabilities of appinventor for novices. I am still struggling with using what we have learned in class and applying that to homework. Maybe 15 minutes of class should be how we should approach this problem like how we did with the add button in the note taking app. I thought that was helpful and made me think how to approach homework in a more logical schema.  ","1) Time management
2) Life balance
3) Pace/concepts ","I would still like to continue the program, the only reason I would stop would be that it conflicts with graduating or a class I need.","Yes","2","3","4","3","5","10 hours ","4","2","3","It depends on the sessions, some are more helpful whereas there are other sessions where I don't have any questions.","4 semesters","No","Yes, quite likely.","Yes, quite likely"
"2016/11/14 6:20:57 PM MST","Initially the technology was tough for me since I am a Mac/iPhone  user. Now I am having trouble with the math/logic and syntax. I feel like I can piece the puzzle together without understanding the shape of the pieces.","Definitely drop in open lab would be helpful so that I have a place to use the internet and ask questions as I do my assignments. I am finding myself looking up necessary and unnecessary things online so I get confused. The homework assignments are also too long. I would prefer to tackle one assignment per week rather than 4 questions per assignment.","I am so happy to have learned app inventor for the concepts, so now that we are using java I can understand how the commands are working together. The java syntax is tough and I wish we had a list of syntax so I can refer to it and type it by hand. Netbeans prompts for some syntax, but I don't feel as though I have all the options available for me to figure out the homework. ","1. Concepts - the math and loops are still difficult for me. 2. Time Management - I don't feel like I have enough time to really understand the assignments 3. Pace -this class moves super fast 4.work/life balance is always tough because programming has been taking me 15-20 hours per week outside of class.","I want to continue the program, but I wish there was another workshop during winter session that was strictly assignment based. Give us a problem, design a pseudo code, and code it ourselves all together in class. I knew computer science wasn't easy which is why I never thought I could do it. I had no idea how much math was involved and I now think I can do computer science, but I am really worried about how complicated it seems data structures will be.","Yes","1","3","3","5","5","15-20 hours per week","5","3","4","It would be great if they could be more involved with the class to know what we are learning so they am build upon what we are learning in class. I also wish the tutors would also do the homework assignment so that when we ask a question we don't have to waste time telling them the assignment.","4 semesters","Yes","Yes, definitely!","Yes, quite likely"
"2016/11/14 6:30:44 PM MST","Logic concepts and java syntax","Weekly open lab","Logical flow","Time management","Yes","Yes","1","1","3","2","3","2-3","3","1","1","N/A","5 semesters","Yes","Yes, definitely!","Yes, definitely"
"2016/11/14 11:20:31 PM MST","concepts","weekly open lab hours, tutors in class, more class group work. ALL OF IT","excited to learn how to add biology into our learning. Struggling on where to start my code. ","Time management and concepts ","Yes. and my expectations have not changed. It is hard but rewarding and interesting. ","Yes","1","3","3","4","5","8","4","2","1","No, Rupal is great! ","4 semesters","Yes","I never know my schedule being a Bio major. My bio classes come first and they are long classes with lab is the major issue. ","We shall see. I like later times. This seems a bit better"
"2016/11/15 12:16:31 AM MST","The math has been the most challenging so far. I've always wanted to get into the computer field but my math skills deterred me from that option.","I think going over the logic/math of the examples before going over how they would be executed in code would be helpful. ","I am excited to learn the java language. I am still struggling to understand math concepts that make it possible for me to create greater more complex programs.","I think understanding the concepts will be more challenging as we go on. I would love more problem solving exercises.","Yes, because I am interested in computer science. My expectations and perspectives has not changed from day one to now. I would like to learn as much as I can about programming. ","Yes","2","1","2","3","3","4-6","3","1","1","No suggestions","5 semesters","Yes","Yes, definitely!","Yes, definitely"
"2016/11/15 12:41:00 AM MST","understanding how and when to apply the concepts being presented and also the assignments being given that seem not to be in balance with what is being taught","in-class group work, in-class hands on of doing a basic java and app inventor project with simultaneous instructor guidance/demo, a slower lecture pace","I am excited to  learn how to make an app using Appinventor and learning this new thought process for making a program and then programming the computer to execute it correctly.  Still struggling to understand concepts of parse, string, type casting in java and when to use these and other terms we are learning. ","1)Work/Life Balance. 2)Keeping up with the fast pace of the lecture. 3) Figuring out each part of the assignment problems when the concepts are still not clearly understood or taught in a way that I as a biologist/human think.","Unless my personal life circumstances change then my answer is Yes because I like to complete whatever project I start.  Unlike my experience in Biology at both the undergraduate and graduate level, I am of the impression that the information I am given in PINC CSc class(es) is only partial of what I need to learn and the rest(majority) will have to come from sourcing myself online or with collaboration with my other classmates. I expected there to be  in class work such as homework of problems given and then corrected in class. When introduced to Java programming I wish the lecturer would have slowed down so I and others could catch up when lecturer was doing the Java demo. More hands on work in class helps me learn better.","Yes","2","3","4","5","5","At least 72 hours","5","3","3","Provide them with lecture notes and assignments","5 semesters","Yes","Yes, definitely!","That time doesn't work for me. I prefer to take another 220 section."
"2016/11/15 2:17:31 AM MST","remembering the best methods for a certain action
","Weekly open lab hours! and just more examples","I just find it exciting when I develop a program that works. I struggle when there isn't a lot of examples I can base my assignments from. For ex. it was easy to do looping homework but not the search homework of assignment 3. ","1) concepts, 2) pace, 3)time management, 4) balance with other classes ","I plan to but I kind of wish the course wasn't considered a 200 series because it is not considered a upper level course and count toward my degree. Bit confused why we move backwards from 300 to 200. ","Yes","1","1","2","2","5","10+","5","2","1","n/a","5 semesters","Yes","Yes, quite likely.","Yes, quite likely"
"2016/11/15 12:01:42 PM MST","I have found applying concepts to solve homework problems to be the most challenging.","I think more in class group work would improve my understanding of the material presented.","I am excited to have learned how to work in Java. I am still struggling to understand most of its syntax.","The most challenging thing for me going forward will be time management.","Yes, I plan to continue the program. My expectations have changed from day 1 because we have not been using many skills to solve biological questions.","Yes","1","2","2","1","3","5","4","1","2","Work on homework in class","4 semesters","No","Yes, quite likely.","Yes, quite likely"
"2016/11/15 12:43:23 PM MST","applying the concepts that I've understood in class to the Java projects.","definitely working with tutors and more in class group work would also be helpful.","learning the Java language has been an overall challenging yet exciting experience. Some things I would like to improve on is establishing a firmer grip on how to code. Knowing which statements need to be applied in order for the entire code to work. ","Pace and balance.","Yes. I am very excited to be a part of this unique program & hope to invest enough time on my part to truly grasp what we are learning. I think the material we are being taught is fascinating & ultimately aim to excel at it. ","Yes","1","1","2","4","4","3 to 6","4","1","1","Not really. I dont know about the other mentors, but I am extremely pleased with mine. ","4 semesters","Yes","Yes, definitely!","That time doesn't work for me. I prefer to take another 220 section."
