"Timestamp","Compared to the start of the semester, do you feel more confident about your ability to read or write a simple program?","How comfortable are you with the concept of a ""variable""? ","How comfortable are you with the concept of a ""control statement"" = setting/checking condition and branching the execution flow?","How comfortable are you with the concept of  ""procedure"", both declaring and using it?","How comfortable are you with the concept ""iterative statement"" = setting initial condition, checking continuing condition, and setting incrementation/decrementation? ","How comfortable are you with the concept of ""abstraction""? ","How many hours per week outside the class do you spend on this course? ","Is the class harder or easier than a biology class?","Which course are you currently enrolled in?","I completed CSc 306 Computing for Biologists with a passing grade last semester.","How comfortable are you with the concept of a ""loop""?","How comfortable are you with the concept of a ""nested loop""?","How comfortable are you with the concept of a ""stack and queue""?","How comfortable are you with the concept of ""sorting""?","How comfortable are you with the concept of ""Big (O) notation""?","How comfortable are you with the concept of ""class""?","How comfortable are you with the concept of ""inheritance""?","How comfortable are you with ""Object-oriented programming"" and its benefits?","How likely are you to recommend the PINC program to a friend or colleague","PINC mentors have been helpful in enhancing your learning experience.","Any suggestions for improving mentoring/tutoring?","Do you prefer to finish PINC program in 4 semesters by having one semester with 2 courses, or in 5 semester by having one course each per semester?",""
"2017/04/04 4:07:58 PM PDT","Yes","3","3","3","3","3","10-15 hours","5","CSc 306 Computing for Biologists","I am currently enrolled in CSc 306","3","3","3","3","3","3","3","Option 1","3","3","We spend a lot of time on concepts.. we have to teach ourselves hoe to apply concepts  in hw. We are not showed the basics","4 semesters",""
"2017/04/04 4:13:16 PM PDT","Yes","1","1","4","5","1","7-10 hours","4","CSc 306 Computing for Biologists","I am currently enrolled in CSc 306","5","5","1","1","1","1","1","Option 1","1","1","mentors need better whiteboards and actual working pens, and useful dry erasers","4 semesters",""
"2017/04/04 4:36:47 PM PDT","Yes","1","2","2","2","3","10-15 hours","4","CSc 306 Computing for Biologists","I am currently enrolled in CSc 306","2","2","4","4","4","2","4","Option 1","2","1","More office hours","4 semesters",""
"2017/04/04 5:27:51 PM PDT","No","3","4","4","4","5","0-3 hours","5","CSc 220 Data Structures and Algorithms","True","4","3","1","1","1","3","4","Option 1","2","1","Have practice problems or more hands on work to do.","4 semesters","Option 1"
"2017/04/04 5:37:05 PM PDT","Yes","1","2","2","3","3","4-6 hours","3","CSc 220 Data Structures and Algorithms","True","2","2","2","2","4","2","2","Option 1","2","1","I would like more choices for mentors. I had to work around my schedule to meet with my mentors.  I would like transparency in the availibity of the schedule of all the mentors, not just my assigned mentor, so that I can meet up with multiple mentors a week if need be.","5 semesters","Option 1"
"2017/04/04 7:31:09 PM PDT","Yes","1","2","2","2","2","4-6 hours","3","CSc 220 Data Structures and Algorithms","True","2","2","2","2","5","2","3","","2","2","Have the mentors come to class or check iLearn regularly to keep current on the class topics and assigments","5 semesters",""
"2017/04/05 1:26:44 AM PDT","Yes","1","2","2","2","1","7-10 hours","3","CSc 306 Computing for Biologists","I am currently enrolled in CSc 306","4","3","1","3","1","3","1","3","1","1","Perhaps talk more with the prof so the things each person says don't counteract each other. It is very helpful tho ","4 semesters",""
"2017/04/05 11:31:19 AM PDT","Yes","1","1","2","2","3","4-6 hours","2","CSc 306 Computing for Biologists","I am currently enrolled in CSc 306","1","1","","","","","","","2","1","I do like how were go over the homework together, so maybe to add on to that we can do more similar practice problems together.","4 semesters",""
"2017/04/05 1:11:19 PM PDT","Yes","1","3","3","3","5","4-6 hours","5","CSc 220 Data Structures and Algorithms","I am currently enrolled in CSc 306","1","2","3","2","3","1","4","4","3","3","Actually reach out to me and schedule times better. ","5 semesters",""
"2017/04/05 2:07:24 PM PDT","Yes","4","4","4","2","2","4-6 hours","2","CSc 306 Computing for Biologists","I am currently enrolled in CSc 306","3","3","1","1","1","1","1","1","1","1","None","4 semesters",""
