Timestamp,1. When working on a computer science problem I find it useful to brainstorm about solution strategies before writing code.,2. I find the challenge of solving computer science problems motivating.,3. Understanding computer science means being able to recall something you’ve read or been shown.,4. The subject of computer science has little relation to what I experience in the real world.,5. There is usually only one correct approach to solving a computer science problem.,"6. To learn computer science, I only need to memorize solutions to sample problems.",7. I am interested in learning more about computer science.,8. Computer Science makes me a better biologist.,9. What were the primary reasons you INITIALLY decided to participate in the PINC program? Please list up to two reasons.,10. Have your motivations changed? What inspires you to continue progressing through the PINC program?,11. How likely are you to recommend the PINC program to a friend or colleague,12. Write one thing you really like about your experience in the PINC program,13. Write one thing you are not so happy about in your experience in the PINC program,14. What is your next planned step for your career goals?,"15. Compared to the start of the semester, do you feel more confident about your ability to read or write a simple program?","16. How comfortable are you with the concept of a ""variable""? ","17. How comfortable are you with the concept of a ""control statement"" = setting/checking condition and branching the execution flow?","18. How comfortable are you with the concept of  a ""procedure"", both declaring and using it?","19. How comfortable are you with the concept ""iterative statement"" = setting initial condition, checking continuing condition, and setting incrementation/decrementation? ","20. How comfortable are you with the concept of ""abstraction""? ",21. How many hours per week outside the class do you spend on this course? ,22. Is the class harder or easier than a biology class?,"23. How comfortable are you with the concept of a ""loop""?","24. How comfortable are you with the concept of a ""nested loop""?","25. How comfortable are you with the concept of a ""stack and queue""?","26. How comfortable are you with the concept of ""sorting""?","27. How comfortable are you with the concept of ""Big (O) notation""?","28. How comfortable are you with the concept of ""class""?","29. How comfortable are you with the concept of ""inheritance""?","30. How comfortable are you with ""Object-oriented programming"" and its benefits?",31. PINC mentors have been helpful in enhancing your learning experience.,32. Which courses do you plan to enroll in next spring?,33. Which courses have you completed with a passing grade?,34. Do you plan to take CSc 220 when it will be scheduled as a MW 4:10 - 5:25 section?,"35. If you do not plan to take CSc as described above or are undecided, please briefly explain why:","36. Do you prefer to finish PINC program in 4 semesters by having one semester with 2 courses, or in 5 semester by having one course each per semester?"
2017/10/12 12:47:34 PM PDT,5,4,4,1,1,1,5,3,i wanted to pursue a minor in computer science and my professor recommended I try it out,My motivations are the same I want to get a feel for computer science,4,Working with others that do not have a background in computer science help me feel like I am not the only one stuggling,Need to show more examples of the code in action during lecture. If the lecture is all dry reading (only definitions) without showing use it makes me tune out as I can read the definitions at home and skip class.,Graduate school,Yes,5,3,4,3,2,4-6 hours,3,5,3,2,3,2,4,2,5,4,CSc 307 An interdisciplinary Approach to Web Programming;CSc 220 Data Structures and Algorithms,At least one other computer science course,Undecided,I am not sure on the timing of my other classes.,4 semesters
2017/10/12 12:47:53 PM PDT,5,5,4,3,1,1,4,4,"I've always wanted to learn coding, but was too intimidated so I thought this would be a great way to get started.","It was extremely difficult in the beginning, but now I like the fact that I can read the code and somewhat figure out what it should be doing.",5,Collaborating and coding together. ,I wish the mentors were better at teaching us and troubleshooting my code. Telling me to google it doesn't help and telling me to just do it the way they did it isn't as helpful as doing it myself the way I understand it in my mind.,Graduate school,Yes,5,5,5,5,4,10-15 hours,1,5,4,5,5,4,5,4,5,5,CSc 698a Research Topics in Computing Applications,CSc 306 Computing for Biologists;CSc 220 Data Structures and Algorithms,No,I've already taken CSC 220,4 semesters
2017/10/12 12:48:43 PM PDT,5,5,2,2,1,1,5,4,Interesting + more opportunities,Same motivations,5,I get to learn to code in real world applications (ex. Pinc Summer),web developement is not for me,Graduate school,Yes,5,5,5,5,4,more than 20 hours,3,5,5,3,3,2,2,2,2,4,CSc 698a Research Topics in Computing Applications;CSc 220 Data Structures and Algorithms,CSc 306 Computing for Biologists,Undecided,,4 semesters
2017/10/12 12:49:04 PM PDT,4,3,4,3,1,1,5,4,"Strengthen programming skills, have some experience to list when applying for jobs",I want to learn how to write/structure a program from scratch rather than being given a framework/prompt,3,We get to work with experienced mentors who are very knowledgeable,"I like game design, but I don't see how a biologist would ever use those skills",Industry,Yes,5,3,3,4,1,4-6 hours,4,5,4,1,4,1,1,1,1,5,CSc 698a Research Topics in Computing Applications;CSc 220 Data Structures and Algorithms,Neither;At least one other computer science course,Yes,That time is good because I definitely cannot do any class before 1:30pm next semester,4 semesters
2017/10/12 12:49:08 PM PDT,5,3,2,2,1,1,5,5,I wanted to approach a field that I felt was intimidating for women and students in health/biology. I wanted to learn how to code but was deterred from it at a younger age because I did not exceed in math.,What inspires me to continue my coding journey are the programs I am able to build and the opportunities I know I will have by learning CS skills.,4,I really enjoy the small group experiences (how small the classes are). This has helped me form better relationships with my teachers and peers and allow me to get a more hands on and one on one approach to learning CS.,I am not so happy with how mentors were assigned for 698. I wish mentors were assigned to the group projects based on their interest in the project idea and their level of experience in the proposed idea. It would be better to have a mentor who knows what to do or has a general idea of how to lead - rather than someone who is learning along with us.,Graduate school,Yes,5,5,5,5,5,7-10 hours,2,5,5,5,5,4,5,5,5,3,CSc 698a Research Topics in Computing Applications;I plan to talk to my mentor or professor about this,CSc 306 Computing for Biologists;CSc 220 Data Structures and Algorithms;At least one other computer science course,No,I believe I have already taken this course.,5 semesters
2017/10/12 12:49:42 PM PDT,5,4,4,1,,2,5,5,1) to gain understanding of computer science 2) to have some background for bioinformatics type work,"My motivations remain similar, but I also have a new appreciation for coding and collaborative projects in computer science.  ",5,"I like that this minor is tailored for non-computer science majors, and that so much time is invested in the students",,Graduate school,No,5,5,3,5,3,4-6 hours,2,5,5,3,5,2,4,4,1,4,CSc 698a Research Topics in Computing Applications,CSc 306 Computing for Biologists;CSc 220 Data Structures and Algorithms,No,,5 semesters
2017/10/12 12:51:12 PM PDT,5,5,4,2,1,2,4,4,"Prior experience using R has showed me how important computing is to biology, so I wanted to get more experience working with computation in biology.

Make myself more marketable as an employee","No, my motivations have been reinforced by this program. Seeing real world problem solving tactics continues to motivate me as well.",4,I have enjoyed the camaraderie of working with a cohort. We all get to suffer together!,"I would like to see the minor get finalized before I graduate. The uncertainty with this makes me uneasy. I will have acquired awesome skills whether the minor gets finalized in time, which is positive.",Graduate school,Yes,5,4,4,4,4,7-10 hours,3,4,4,4,4,4,4,4,4,4,CSc 698a Research Topics in Computing Applications;CSc 220 Data Structures and Algorithms,CSc 306 Computing for Biologists,Undecided,"I need to take some other biology classes and I am unsure whether there will be a scheduling conflict with those. Ideally I would like to graduate by this coming Spring, if Csc 220 conflicts with that I may have to opt out.",4 semesters
2017/10/12 12:52:39 PM PDT,5,5,5,1,1,1,5,5,It is a skill that I want to have for my future jobs and it is something that I have never had an experience with before.,No. There are more reasons to motivate me to be worked harder in the course. I learned to be a better thinker and problem solver. I'm inspired by the challenge from writing the code and debugging because each of them taught me how to be better and more efficient next time.,5,It would be the feeling when I finally figure out my code and it's worked and the classmates. I get to share with others and they also share theirs. ,"I'm not really familiar myself with the concepts taught in class, I just need more time to memorize and understand them.",Graduate school,Yes,5,5,4,5,1,4-6 hours,1,4,4,1,1,1,4,3,4,4,CSc 220 Data Structures and Algorithms,CSc 306 Computing for Biologists,Yes,,4 semesters
2017/10/12 12:54:07 PM PDT,3,4,2,1,1,1,4,3,Seems like an excellent opportunity to begin practicing solving biological problems with the use of computers and mathematics,The project we are currently working on as a group is super interesting so the thought of being able to contribute to such a cool project keeps me extremely motivated to keep learning and working with others to solve scientific problems.,5,I am Applied Math student so I am truly enjoying working with students from diverse majors (mainly Biology). I've found that we complement each other and working with them makes solving scientific problems very exciting.,"At first I was a bit apprehensive about the mentor meetings for each class but I now see that they are extremely importance for the success of our projects.  I would like that the social events are planned for a day where we can all attend. Maybe an evening, maybe a Saturday? IDK, I'd like to be part of it and meet other student scientists, but I won't get to this time due to scheduling conflicts.",Graduate school,Yes,5,5,2,5,4,7-10 hours,2,5,5,2,5,1,5,5,5,5,CSc 698a Research Topics in Computing Applications,CSc 306 Computing for Biologists;CSc 220 Data Structures and Algorithms,No,Already took it,4 semesters
2017/10/12 12:55:26 PM PDT,4,3,3,2,1,1,5,3,"1). To be able to incorporate computer science techniques into my biomedical research and 2). As a scientist I have an obligation towards understanding and using the best resources/technologies available for my data gathering and analysis. As technology improves so will computers, therefore we must be familiar with current trends/techniques. ","Not really, my appreciation for computing has deepened if anything. ",5,"Im not alone!!! I have fellow STEM/RISE/MARC/BUILD/BECKMAN who do not have coding experience and who, like me, wish to expand on their coding knowledge. ","I feel like I am learning too much, at a too fast of a pace. Maybe a better transition from the topics in one course to another; so as to make the learning curve a little less difficult. ",Graduate school,Yes,3,1,1,1,1,10-15 hours,1,3,3,1,2,1,3,1,1,3,CSc 698a Research Topics in Computing Applications;CSc 220 Data Structures and Algorithms,At least one other computer science course,Undecided,If it fits my schedule. I have ever intention of trying to attend this course. ,5 semesters
