"Timestamp","Which courses do you plan to enroll in next spring?","What were the primary motivations you INITIALLY decided to participate in the PINC program? Please list up to two reasons.","Have your motivations changed? What inspires you to continue progressing through the PINC program?","Which courses have you completed with a passing grade?","Compared to the start of the semester, do you feel more confident about your ability to read or write a simple program?","How comfortable are you with the concept of a ""variable""? ","How comfortable are you with the concept of a ""control statement"" = setting/checking condition and branching the execution flow?","How comfortable are you with the concept of  ""procedure"", both declaring and using it?","How comfortable are you with the concept ""iterative statement"" = setting initial condition, checking continuing condition, and setting incrementation/decrementation? ","How comfortable are you with the concept of ""abstraction""? ","How many hours per week outside the class do you spend on this course? ","Is the class harder or easier than a biology class?","How comfortable are you with the concept of a ""loop""?","How comfortable are you with the concept of a ""nested loop""?","How comfortable are you with the concept of a ""stack and queue""?","How comfortable are you with the concept of ""sorting""?","How comfortable are you with the concept of ""Big (O) notation""?","How comfortable are you with the concept of ""class""?","How comfortable are you with the concept of ""inheritance""?","How comfortable are you with ""Object-oriented programming"" and its benefits?","How likely are you to recommend the PINC program to a friend or colleague","PINC mentors have been helpful in enhancing your learning experience.","Any suggestions for improving mentoring/tutoring?","Do you prefer to finish PINC program in 4 semesters by having one semester with 2 courses, or in 5 semester by having one course each per semester?"
"2017/06/09 12:35:20 PM PDT","Both","Not at the moment","","CSc 306 Computing for Biologists","Yes","1","1","3","5","1","4-6 hours","4","1","1","4","4","5","5","5","1","3","1","Most students used the mentors more like teachers to actually learn the material needed to complete the assignments.","4 semesters"
"2017/06/09 12:46:33 PM PDT","CSc 307 An interdisciplinary Approach to Web Programming","","","CSc 306 Computing for Biologists","Yes","1","1","2","2","4","4-6 hours","4","2","3","3","4","5","5","5","5","2","1","None","4 semesters"
"2017/06/09 1:19:53 PM PDT","Both","Unsure","","Other","Yes","1","3","3","3","2","7-10 hours","4","1","1","1","3","3","2","2","3","3","1","None","5 semesters"
"2017/06/09 7:00:27 PM PDT","Both","The application of python with biology.","","CSc 306 Computing for Biologists","Yes","1","1","1","1","1","7-10 hours","2","1","1","3","3","4","5","3","1","2","1","Have more office hours","4 semesters"
"2017/06/10 8:39:07 AM PDT","Both","Bioinformatics","","Other","Yes","2","2","2","2","3","4-6 hours","4","2","3","2","3","4","2","2","3","2","3","Better communication with instructor and mentors","4 semesters"
"2017/06/10 9:57:09 AM PDT","Both","I hope to understand how computer science will help me be a better researcher and I hope to be more prepared for graduate school.","","CSc 220 Data Structures and Algorithms","Yes","1","1","2","1","2","4-6 hours","3","1","1","1","1","2","1","1","3","1","1","I think the mentors are doing a great job! But more communication between the teacher and mentor would be helpful for both the mentors and students.","5 semesters"
"2017/06/11 5:44:51 PM PDT","Both","How to structure and research project to generate most data. ","","Other","Yes","3","2","1","1","2","4-6 hours","4","1","2","1","2","5","2","1","2","2","1","I love the mentoring sessions. Maybe more lecture like sessions. But theyre well structures in my experience. ","4 semesters"
"2017/06/12 11:29:33 AM PDT","Both","","","CSc 306 Computing for Biologists","Yes","1","1","2","2","3","4-6 hours","4","2","2","","2","","4","","3","2","1","More practice problems to do together ","4 semesters"
"2017/06/12 7:10:15 PM PDT","Both","Identifying False Positive Rates Identified in Forensic Genetics","","CSc 220 Data Structures and Algorithms","Yes","1","2","2","2","2","4-6 hours","4","1","3","1","1","3","2","1","1","1","1","Incorporate the tutors more in the class so they can be more involved","4 semesters"
"2017/06/13 3:42:31 PM PDT","Both","I hope that the instructors understand and make the course work for biologist","","CSc 306 Computing for Biologists","No","3","3","3","3","4","15-20 hours","5","4","3","3","3","3","3","3","3","3","3","I think the teacher needs to stop saying that Biology classes are easier in comparison to computer classes. In addition, I think the classes need to be better adapted for biologist as classes are both computer and biology are challenging in their own ways. As for mentoring I think we should have open sessions to get help with the homework since these are concepts that we have to self teach ourself. ","4 semesters"
"2017/06/13 6:33:15 PM PDT","Neither","","","Other","Yes","1","1","1","1","1","4-6 hours","4","1","1","3","3","3","2","4","2","1","1","Extended hours when homework is due.","4 semesters"
"2017/06/14 2:56:02 PM PDT","Both","I'm mostly excited to apply my knowledge of Python to real research. I found Dr. Swei's work with tick's and Lyme's disease to be particularly interesting.","","CSc 306 Computing for Biologists","Yes","2","2","3","2","3","7-10 hours","4","2","2","3","3","4","3","3","2","2","2","It would be great if the mentors could lecture/explain less and engage the group more. I find I learn better when I get to participate in a dialogue about the topic. The room we used was  (computer science room) loud at times, which made it difficult to concentrate and hear.","4 semesters"
"2017/06/19 4:33:36 PM PDT","Both","To get the independent project started","","Neither","Yes","1","1","2","2","4","4-6 hours","5","1","2","1","3","5","1","3","4","1","2","Lecturer provide mentor with answer keys","5 semesters"
"2017/06/20 4:36:13 PM PDT","CSC 698a Research Topics in Computing Applications","excel at utilizing programming in scienctific research","","Other","Yes","4","2","2","2","5","4-6 hours","4","2","2","2","2","5","1","2","4","4","5","no","4 semesters"
"2017/06/22 11:07:51 AM PDT","Both","become more proficient with programming in python and hopefully learn about other languages.","","CSc 306 Computing for Biologists","Yes","1","1","1","3","2","4-6 hours","4","1","2","1","1","3","1","2","1","2","1","N/A","4 semesters"
